measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Wisconsin,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7365.639692845653,9085.560570963358,5855.08315552435
Incidence,Wyoming,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7064.390318231905,8464.178830148654,5888.522508670587
Incidence,Wyoming,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7449.120584768797,9403.210558198742,5862.501850501852
Incidence,Oregon,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7170.688329447214,8528.231042290448,5961.629026858004
Incidence,Oregon,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7622.656850052126,9547.29408391891,5940.102109203448
Incidence,Nebraska,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6905.961319527097,8245.00823411708,5743.4544384506335
Incidence,Nebraska,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7163.316053642578,8847.242270634126,5647.671827607966
Incidence,Pennsylvania,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7064.5623565006035,8377.731128216661,5904.038669989767
Incidence,Pennsylvania,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,8128.296263047566,10066.640322991856,6518.106240934
Incidence,Arkansas,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,6839.5145777755115,8064.830740416537,5740.244927610509
Incidence,Arkansas,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7247.614602543433,9076.968540190053,5707.087244316516
Incidence,Oklahoma,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6954.188508161365,8339.259197427149,5810.855326611143
Incidence,Oklahoma,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7295.11615672908,9034.261718039,5716.969626556384
Incidence,Rhode Island,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7230.848608586111,8567.763169222786,6033.326721767635
Incidence,Rhode Island,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7485.093880887938,9349.594471762612,5930.572276153582
Incidence,Minnesota,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7154.917863268942,8607.881293382325,5917.401453271103
Incidence,Minnesota,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7568.828164685514,9504.760560650111,5941.2824939130405
Incidence,Connecticut,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7402.325602009833,8784.917357400065,6139.643361738986
Incidence,Connecticut,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7780.317244303006,9813.502252013066,6064.155736775157
Incidence,Indiana,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7075.123551093623,8396.150360013586,5883.589056019596
Incidence,Indiana,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7689.745288905592,9456.142905987545,6071.724003947634
Incidence,California,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7458.1161436377315,8861.275029857266,6219.660921123446
Incidence,California,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,8183.945735921201,10151.884368413135,6490.537383315545
Incidence,Nevada,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7549.699712880198,8882.258369812582,6329.118876170578
Incidence,Nevada,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7891.136544891844,9826.578581544527,6217.815857174944
Incidence,Mississippi,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6683.318518669854,7876.986000352738,5628.7248925597305
Incidence,Mississippi,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7108.465220902203,8836.486586061425,5583.969530929054
Incidence,Delaware,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7275.87515046998,8617.621736333302,6077.853603473062
Incidence,Delaware,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7712.800457743255,9657.422689236162,6058.885529476019
Incidence,Alaska,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7821.892680927886,9446.041688884543,6454.30764565212
Incidence,Alaska,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,8399.743924392982,10613.320424872847,6493.396515310615
Incidence,Arkansas,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6771.251541799276,8010.422781875416,5672.84411753622
Incidence,Arkansas,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7217.658381572897,9071.814575920442,5677.292216124479
Incidence,Louisiana,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7704.078656899307,9077.812129454582,6493.389615408119
Incidence,Louisiana,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7542.209318688245,9292.982857693942,5947.705607421331
Incidence,South Carolina,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7192.232866690069,8562.498702092957,6006.781205320866
Incidence,South Carolina,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7530.278202316143,9287.363186499962,5956.002015777164
Incidence,Colorado,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7567.066242737213,9043.549763030886,6282.199203718944
Incidence,Colorado,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,8017.852416030308,10100.516640279408,6273.267624980978
Incidence,Iowa,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6830.92837651935,8084.908503567463,5699.64600553245
Incidence,Iowa,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7118.841272118239,8844.661276389317,5673.66176825293
Incidence,Arizona,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7063.411068087672,8398.830534379298,5896.556342957385
Incidence,Arizona,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7430.223195241308,9102.32480662527,5848.8276811644655
Incidence,Maine,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7166.116621881867,8579.801686091965,5942.513344069504
Incidence,Maine,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7542.995144642928,9308.382426854254,5871.473306791971
Incidence,New Hampshire,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7439.25563302162,8890.670273470989,6187.705016877818
Incidence,New Hampshire,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7857.660629923794,9805.92726078276,6176.272451163965
Incidence,Illinois,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7176.316965192571,8522.015247551148,5972.535707874813
Incidence,Illinois,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7503.896683273101,9262.507360259573,5974.175827133112
Incidence,California,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7406.186841873437,8825.13650346341,6171.464360201765
Incidence,California,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,8190.569730391672,10166.57552198684,6530.886206775987
Incidence,Nevada,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7582.44857620763,8942.889040874205,6344.313347965762
Incidence,Nevada,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7921.139011854769,9838.193336104227,6208.405019521469
Incidence,New Jersey,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7341.865383138523,8687.791535166307,6113.24796394338
Incidence,New Jersey,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7393.440900785073,9294.731131488381,5792.442361182446
Incidence,Nebraska,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,6963.055251077632,8272.579811062944,5780.660759270471
Incidence,Nebraska,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7217.6083406041635,8922.359662981571,5676.088505254051
Incidence,Colorado,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7502.00782845491,8962.243664314421,6200.722848514783
Incidence,Colorado,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,8010.460217521962,10208.51804340241,6269.426610418092
Incidence,Tennessee,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7269.054444727498,8638.445618876662,6080.706127562326
Incidence,Tennessee,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7638.23569960947,9470.068938315946,6031.10395430644
Incidence,Kansas,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6966.333311215263,8322.97303882493,5848.104845500214
Incidence,Kansas,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7236.693853267497,8957.284757462081,5646.344195147771
Incidence,Indiana,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7014.639861471951,8349.172249877354,5833.521830289173
Incidence,Indiana,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7650.724941521267,9377.911100530639,6003.162734094898
Incidence,New Hampshire,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7508.105403400961,8989.961412308516,6247.939407059302
Incidence,New Hampshire,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7918.4569954655435,9947.054307559878,6188.062225677316
Incidence,District of Columbia,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7879.547035291184,9375.956473592483,6583.900943267962
Incidence,District of Columbia,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,9765.953671819361,11801.619734642087,8000.655467605865
Incidence,New Mexico,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6943.847987514902,8256.41992550866,5767.615845882352
Incidence,New Mexico,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7402.144463281738,9215.316816593966,5837.298874996544
Incidence,South Dakota,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6658.988596553738,7967.703899781842,5574.449047904258
Incidence,South Dakota,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6901.499441905404,8687.630499925459,5473.473331119652
Incidence,Iowa,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,6902.648751811337,8144.712438828015,5780.9550208170485
Incidence,Iowa,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7152.702896739875,8910.839694434986,5684.812764595007
Incidence,Texas,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7224.839904529725,8607.249539218208,6027.934705780354
Incidence,Texas,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7669.806798981108,9594.587779866377,6043.774343591694
Incidence,South Carolina,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7253.329604853434,8583.835719373687,6057.066372508943
Incidence,South Carolina,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7582.521553897493,9311.033076065036,5967.270069048458
Incidence,Vermont,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7381.503123119572,8796.694105014676,6141.4397188571365
Incidence,Vermont,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7803.910204251818,9801.339586748787,6135.078749327935
Incidence,Delaware,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7384.602734714027,8749.975819124797,6182.798034610889
Incidence,Delaware,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7767.339544756871,9681.916954725732,6125.230029262396
Incidence,South Dakota,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,6727.2431459601985,8027.674316215194,5629.184946626857
Incidence,South Dakota,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,6952.267743495027,8692.408850307385,5498.19662869608
Incidence,Washington,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7627.816475861454,9122.612124976862,6371.941813571792
Incidence,Washington,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7565.01974227264,9668.213524204892,5861.303334223155
Incidence,New York,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7266.80349350211,8605.591848955153,6034.788838615048
Incidence,New York,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7987.068700502412,9938.204534220256,6364.321990590713
Incidence,Louisiana,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7735.90090337232,9109.473112653168,6509.622362346419
Incidence,Louisiana,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7596.783266943689,9389.030497426274,6003.02267708894
Incidence,Kentucky,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7082.526798455835,8399.60131442274,5914.205369789315
Incidence,Kentucky,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7504.459724389954,9369.000641445786,5919.182820009529
Incidence,Tennessee,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7211.161555635924,8619.486936907066,6021.187704201708
Incidence,Tennessee,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7602.90632262394,9456.935155588288,6003.908669142051
Incidence,Kansas,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7031.832171357584,8385.343230766679,5872.80883040117
Incidence,Kansas,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7278.22094335341,8998.850882981802,5702.954756762909
Incidence,North Carolina,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7383.146323496738,8776.825406030004,6195.907569631496
Incidence,North Carolina,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7723.7055427806845,9547.872539240812,6080.659765656149
Incidence,Virginia,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7634.832671525132,9106.125609863453,6383.903416946878
Incidence,Virginia,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,8020.3939202127485,10040.351686441147,6323.380948046581
Incidence,Utah,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,6451.5860285769695,7701.053006073512,5391.691369266248
Incidence,Utah,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,6919.683588214117,8635.399329520229,5500.200907807869
Incidence,New Jersey,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7407.7949759103185,8788.330938487423,6164.18740538988
Incidence,New Jersey,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7431.255639223377,9353.165351335474,5825.251540468403
Incidence,New York,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7383.303683173796,8758.201900428756,6150.921917359463
Incidence,New York,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,8053.758892065208,9993.450446277173,6402.983953662242
Incidence,Maryland,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7508.609096145795,8948.564163914425,6217.278435017222
Incidence,Maryland,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,8012.711054706623,9918.974215800761,6290.391460554244
Incidence,Texas,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7162.191239234831,8547.493544494535,5996.282922465145
Incidence,Texas,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7655.399012562081,9588.399877201155,6033.618014105556
Incidence,Connecticut,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7465.891231291309,8857.351096730668,6228.429458580183
Incidence,Connecticut,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7816.402919929773,9857.276549709693,6095.124128149746
Incidence,Kentucky,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7157.417463077148,8519.896312658962,5956.890860680347
Incidence,Kentucky,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7555.528422673666,9410.451404418582,5963.420024380439
Incidence,Maine,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7308.260472252879,8714.622778964696,6113.670647524127
Incidence,Maine,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7646.31051711632,9515.586934153873,5931.866742160751
Incidence,Maryland,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7444.9828037166835,8843.754579532875,6165.318308204899
Incidence,Maryland,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,8050.24209685046,10107.682675804574,6265.136019929106
Incidence,New Mexico,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,6990.255937679138,8328.768825542305,5804.727555683596
Incidence,New Mexico,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7427.195242177825,9189.272220223085,5864.81125858103
Incidence,North Dakota,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,6896.89543334993,8213.522417403308,5771.022128754645
Incidence,North Dakota,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7133.046815542974,8862.739964713619,5644.1309168655935
Incidence,Utah,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6376.872377269682,7637.627683671355,5324.43429715949
Incidence,Utah,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6870.556129631697,8593.918725753625,5449.809560226322
Incidence,Maine,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7248.822288372841,8672.620256123333,6034.957511953774
Incidence,Maine,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7607.000059512822,9433.974447849028,5911.6784736112195
Incidence,Delaware,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7342.317840796918,8705.38117075691,6147.751189130502
Incidence,Delaware,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7751.564442561319,9673.34370229736,6121.896070647892
Incidence,New York,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7336.5108994835,8706.469040591664,6102.743749073121
Incidence,New York,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,8028.525861996904,9930.532242279796,6392.098661534398
Incidence,Massachusetts,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7412.122681099094,8917.731602484546,6163.322732415465
Incidence,Massachusetts,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7755.408452923945,9679.545606804793,6159.113622205194
Incidence,Ohio,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7175.726942592052,8502.970266842483,6008.922035992982
Incidence,Ohio,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7500.920941261336,9342.07762036657,5906.760391549239
Incidence,Massachusetts,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7523.756908841508,8967.54428736575,6268.565705954547
Incidence,Massachusetts,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7841.90264839502,9789.44674477574,6215.845836238722
Incidence,Maryland,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7484.432629842025,8894.636251291375,6203.88230550021
Incidence,Maryland,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,8045.363202181032,10017.372360933792,6277.39297397718
Incidence,North Carolina,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7313.761348973099,8689.106933158122,6126.644900411901
Incidence,North Carolina,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7700.912077765791,9522.446829248851,6063.492465941234
Incidence,Oklahoma,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7063.932505468888,8395.71447066838,5901.546698168359
Incidence,Oklahoma,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7331.87632123546,9007.539215609182,5780.22406027103
Incidence,District of Columbia,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7986.569937462221,9519.97055051783,6668.526181023245
Incidence,District of Columbia,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,9761.638808796253,11789.714559576396,7994.411693266204
Incidence,District of Columbia,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7941.65160590522,9494.39198439992,6631.815816244023
Incidence,District of Columbia,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,9773.459784974579,11833.232125227729,8010.338894055072
Incidence,Michigan,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7222.309373220503,8553.478707672144,6043.107876605851
Incidence,Michigan,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7609.681254477209,9410.215056016867,5993.830949804922
Incidence,Alabama,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7060.369369780099,8379.826207871309,5911.461601184425
Incidence,Alabama,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7429.579812360537,9113.285957072936,5870.525223138755
Incidence,Massachusetts,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7480.100869865386,8957.920325466204,6224.598000648707
Incidence,Massachusetts,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7812.733197201356,9752.417173281072,6200.388454781623
Incidence,North Dakota,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,6827.025826386736,8150.066966239581,5695.997733474683
Incidence,North Dakota,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7107.262367059369,8829.7241954692,5621.663524052742
Incidence,North Carolina,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7438.023069122249,8842.700078218686,6239.412893460174
Incidence,North Carolina,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7732.190470465432,9562.516462459125,6076.4191348284185
Incidence,Washington,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7705.4542587495935,9135.53213477975,6444.03603677401
Incidence,Washington,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7530.17773215362,9565.31092202348,5772.274352663694
Incidence,Minnesota,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7261.311633687044,8697.53467818768,6039.031241100322
Incidence,Minnesota,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7635.832775735695,9615.08779822664,5982.427914676036
Incidence,Hawaii,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7403.781168525606,8865.377024812591,6197.0583506538405
Incidence,Hawaii,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7830.381550487065,9815.544050419763,6147.7059783716695
Incidence,Michigan,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7177.469441281308,8494.284056184884,6008.632383496885
Incidence,Michigan,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7582.931704055966,9387.713857312525,5936.926158254289
Incidence,Missouri,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7113.126428119228,8424.399083017717,5955.144417499714
Incidence,Missouri,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,8718.354991071856,10781.06116918162,6964.573956810811
Incidence,Minnesota,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7216.7862771692435,8659.177876948106,5996.5130704028215
Incidence,Minnesota,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7612.878991170692,9578.455347634932,5961.234352367499
Incidence,Florida,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,6812.376276431174,8136.37443854779,5682.148229530437
Incidence,Florida,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7313.15353141985,9058.284354559642,5761.498905233015
Incidence,North Dakota,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,6953.843680252768,8281.156186024295,5828.918498377079
Incidence,North Dakota,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7150.668083210783,8844.127092554369,5639.461707869511
Incidence,Illinois,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7225.67804776769,8586.382379629527,6017.76165008186
Incidence,Illinois,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7544.5344352408765,9334.126692448393,5982.769171569726
Incidence,Alabama,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7130.142951083251,8450.395944428057,5981.573079707891
Incidence,Alabama,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7459.930563473099,9170.10067629074,5892.949948160492
Incidence,Vermont,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7284.005834883896,8674.469196717428,6054.291384453992
Incidence,Vermont,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1990,7766.673484515334,9704.09230319897,6134.845558527538
Incidence,Idaho,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,6775.852257420527,8045.597473753052,5669.431543282651
Incidence,Idaho,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,7186.428154331753,9009.1889622764,5652.676667205739
Incidence,Mississippi,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,6843.328912920216,8043.662997383055,5770.8898021442155
Incidence,Mississippi,Female,All Ages,Sexually transmitted infections excluding HIV,Rate,1992,7225.246229248548,8975.105107512905,5704.1937250487745
Incidence,Florida,Male,All Ages,Sexually transmitted infections excluding HIV,Rate,1991,6768.148784868548,8083.7584591195655,5638.336076582879
